firm_id,X1,X2,Y_observed
firm_01,39.83,24.75,51.6313
firm_02,43.64,36.38,78.2531
firm_03,9.24,48.9,50.2209
firm_04,39.25,40.37,48.3744
firm_05,10.77,25.27,35.9318
firm_06,21.69,46.7,56.1743
firm_07,33.97,42.02,77.1866
firm_08,24.95,15.23,37.1089
firm_09,29.96,7.87,26.8678
firm_10,42.24,33.42,59.009
firm_11,39.11,20.95,41.4909
firm_12,48.68,45.19,72.0375
firm_13,40.03,13.76,28.3304
firm_14,26.0,6.97,23.6026
firm_15,11.94,35.74,46.1025
firm_16,38.51,48.54,88.4951
firm_17,19.66,21.67,29.7385
firm_18,26.13,13.53,31.3847
firm_19,10.85,26.41,37.0052
firm_20,15.21,35.14,28.8244
